KOD,MESTO,VOLICI V SEZNAMU,VYDANE OBALKY,PLATNE HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,Èeská strana národnì sociální v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
535010,Bìleè,262,181,181,"12,70","0,00","0,00","10,49",nekandiduje,"0,00","7,18","6,07","0,55","1,10",nekandiduje,"0,00","0,00","0,00",22,nekandiduje,"0,00",nekandiduje,"0,00","6,07","33,70","0,00","0,00","3,31","0,00","0,55","0,55","0,55","4,41","0,55",nekandiduje
532070,Bìloky,135,102,101,"11,88","0,00","0,00","9,90",nekandiduje,"0,00","5,94","11,88","0,99","0,00",nekandiduje,"2,97","0,00","0,00",16,nekandiduje,"0,00",nekandiduje,"0,00","7,92","20,79","0,00","0,00","2,97","0,00","0,00","0,00","0,00","8,91","0,00",nekandiduje
532088,Beøovice,272,152,152,"13,81","0,00","0,00","7,89",nekandiduje,"0,00","8,55","3,94","1,97","1,97",nekandiduje,"1,31","0,65","0,00",18,nekandiduje,"0,00",nekandiduje,"0,00","3,28","32,89","0,00","0,65","0,00","0,00","0,00","0,00","0,00","11,18","0,00",nekandiduje
535125,Bílichov,155,99,99,"7,07","0,00","0,00","9,09",nekandiduje,"0,00","10,10","14,14","0,00","0,00",nekandiduje,"4,04","0,00","0,00",8,nekandiduje,"0,00",nekandiduje,"0,00","4,04","33,33","0,00","0,00","1,01","0,00","0,00","0,00","0,00","8,08","1,01",nekandiduje
532100,Blevice,243,172,171,"6,43","0,58","0,00","11,11",nekandiduje,"0,00","7,60","23,39","1,75","1,75",nekandiduje,"1,16","0,00","0,00",22,nekandiduje,"0,00",nekandiduje,"0,00","4,67","15,20","0,00","0,58","2,33","0,00","1,16","0,00","0,58","8,18","0,58",nekandiduje
532118,Brandısek,1 438,894,883,"11,21","0,11","0,11","7,92",nekandiduje,"0,11","5,54","9,39","1,58","0,79",nekandiduje,"1,47","0,33","0,00",128,nekandiduje,"0,00",nekandiduje,"0,00","3,17","30,12","0,00","0,22","1,13","0,00","0,45","0,11","0,22","11,09","0,33",nekandiduje
532126,Braškov,847,625,619,"14,53","0,00","0,00","5,65",nekandiduje,"0,00","6,46","8,72","1,77","0,80",nekandiduje,"1,13","0,00","0,00",101,nekandiduje,"0,00",nekandiduje,"0,00","8,23","26,49","0,00","0,32","2,10","0,00","0,48","0,00","0,32","6,62","0,00",nekandiduje
532142,Bratronice,749,489,487,"15,40","0,00","0,00","4,72",nekandiduje,"0,61","6,98","11,08","0,41","1,84",nekandiduje,"2,05","0,00","0,00",51,nekandiduje,"0,00",nekandiduje,"0,20","3,90","28,13","0,00","0,20","1,64","0,00","0,61","0,20","0,00","11,29","0,20",nekandiduje
532169,Buštìhrad,2 508,1 645,1 639,"15,00","0,00","0,18","5,30",nekandiduje,"0,12","7,19","7,01","1,09","0,48",nekandiduje,"2,13","0,12","0,06",242,nekandiduje,"0,00",nekandiduje,"0,06","7,62","26,05","0,00","0,18","3,41","0,12","0,48","0,18","0,18","7,74","0,42",nekandiduje
532185,Cvrèovice,568,354,353,"15,01","0,28","0,00","6,23",nekandiduje,"0,28","5,66","12,74","0,56","0,84",nekandiduje,"1,41","0,00","0,00",41,nekandiduje,"0,00",nekandiduje,"0,00","5,38","24,92","0,00","0,00","1,98","0,00","1,13","0,00","0,00","11,61","0,28",nekandiduje
