KOD,MESTO,VOLICI V SEZNAMU,VYDANE OBALKY,PLATNE HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,Èeská strana národnì sociální v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
552356,Babice,370,256,254,"5,11","0,00","0,00","3,93",nekandiduje,"0,00","7,08","9,84","0,39","1,96",nekandiduje,"0,78","0,39","0,00","6,69",nekandiduje,nekandiduje,nekandiduje,"0,00","1,96","31,10","0,00","0,00","0,00","3,54","0,00","0,78","0,00","25,98","0,39",nekandiduje
500526,Bìlkovice-Lašany,1 801,1 079,1 069,"9,07","0,00","0,00","7,76",nekandiduje,"0,09","4,11","7,57","1,68","0,56",nekandiduje,"1,40","0,09","0,09","9,72",nekandiduje,nekandiduje,nekandiduje,"0,00","2,99","31,15","0,09","0,00","0,18","7,01","0,56","0,74","0,09","14,31","0,65",nekandiduje
500623,Bílá Lhota,931,568,565,"5,48","0,00","0,00","7,43",nekandiduje,"0,00","3,53","12,92","0,70","1,06",nekandiduje,"1,06","0,00","0,88","9,38",nekandiduje,nekandiduje,nekandiduje,"0,35","2,12","29,02","0,00","0,00","0,00","10,97","0,00","0,53","0,17","14,33","0,00",nekandiduje
552062,Bílsko,172,119,119,"6,72","0,00","0,84","9,24",nekandiduje,"0,00","5,88","2,52","0,84","0,84",nekandiduje,"0,00","0,84","0,00","10,08",nekandiduje,nekandiduje,nekandiduje,"0,00","0,84","22,68","0,00","0,00","0,00","21,00","0,00","0,84","0,00","16,80","0,00",nekandiduje
500801,Blatec,497,320,319,"6,58","0,00","0,00","8,77",nekandiduje,"0,00","5,95","8,15","2,19","0,31",nekandiduje,"0,94","0,00","0,00","7,83",nekandiduje,nekandiduje,nekandiduje,"0,00","2,19","34,48","0,00","0,00","0,31","8,15","0,31","0,00","0,00","13,47","0,31",nekandiduje
500852,Bohuòovice,2 030,1 352,1 340,"10,07","0,29","0,14","4,40",nekandiduje,"0,44","3,65","7,31","1,79","1,11",nekandiduje,"2,08","0,59","0,07","10,37",nekandiduje,nekandiduje,nekandiduje,"0,00","3,20","33,20","0,22","0,14","0,29","7,68","0,52","0,37","0,22","11,34","0,37",nekandiduje
500861,Bouzov,1 261,778,771,"6,87","0,38","0,12","8,43",nekandiduje,"0,25","2,33","12,97","1,81","0,77",nekandiduje,"0,51","0,00","0,12","10,11",nekandiduje,nekandiduje,nekandiduje,"0,00","3,50","27,62","0,00","0,00","0,12","11,02","1,03","0,25","0,25","11,41","0,00",nekandiduje
552402,Bukovany,528,369,369,"11,92","0,27","0,00","5,14",nekandiduje,"0,27","4,60","5,69","2,71","0,00",nekandiduje,"0,81","0,00","0,00","12,73",nekandiduje,nekandiduje,nekandiduje,"0,00","3,52","25,20","0,00","0,00","0,00","15,17","0,00","1,35","0,00","9,48","1,08",nekandiduje
500879,Bystroèice,620,384,384,"16,40","0,00","0,00","10,41",nekandiduje,"0,00","3,90","8,07","0,78","0,00",nekandiduje,"0,26","0,52","0,00","8,33",nekandiduje,nekandiduje,nekandiduje,"0,00","1,82","33,85","0,26","0,00","0,00","4,94","0,52","0,26","1,04","8,33","0,26",nekandiduje
547026,Bystrovany,804,555,553,"12,83","0,00","0,00","5,96",nekandiduje,"0,36","4,52","4,52","0,72","0,18",nekandiduje,"1,98","0,54","0,00","11,21",nekandiduje,nekandiduje,nekandiduje,"0,00","5,42","29,65","0,36","0,00","0,18","9,40","0,36","0,18","0,18","11,21","0,18",nekandiduje
552186,Èervenka,1 119,720,716,"6,42","0,13","0,00","8,79",nekandiduje,"0,00","3,91","9,21","1,11","0,41",nekandiduje,"1,11","0,13","0,00","8,51",nekandiduje,nekandiduje,nekandiduje,"0,00","1,95","29,88","0,27","0,13","0,27","11,59","0,41","0,97","0,00","13,96","0,69",nekandiduje
552445,Daskabát,486,323,320,"5,62","0,31","0,00","5,00",nekandiduje,"0,00","3,43","8,12","1,56","1,56",nekandiduje,"3,12","0,00","0,00","10,00",nekandiduje,nekandiduje,nekandiduje,"0,00","0,93","43,43","0,31","0,00","0,00","7,81","0,31","0,31","0,00","8,12","0,00",nekandiduje
501476,Dlouhá Louèka,1 562,854,850,"7,29","0,00","0,00","6,70",nekandiduje,"0,35","7,41","9,05","1,41","1,05",nekandiduje,"2,00","0,11","0,00","8,94",nekandiduje,nekandiduje,nekandiduje,"0,35","3,05","32,58","0,00","0,23","0,00","2,82","0,35","0,35","0,00","15,52","0,35",nekandiduje
501646,Dolany,2 107,1 418,1 408,"11,36","0,07","0,07","5,96",nekandiduje,"0,07","6,17","5,32","1,27","0,28",nekandiduje,"1,42","0,07","0,21","12,00",nekandiduje,nekandiduje,nekandiduje,"0,07","3,90","30,25","0,14","0,00","0,07","9,58","1,06","0,14","0,07","10,01","0,35",nekandiduje
568392,Doloplazy,1 063,655,640,"11,09","0,00","0,00","6,09",nekandiduje,"0,31","3,75","6,56","1,25","0,78",nekandiduje,"1,87","0,46","0,62","6,87",nekandiduje,nekandiduje,nekandiduje,"0,00","2,18","26,09","0,00","0,00","0,31","16,25","0,78","0,78","0,46","13,43","0,00",nekandiduje
545279,Domašov nad Bystøicí,402,208,206,"4,36","0,00","0,00","9,22",nekandiduje,"0,00","2,91","14,07","0,48","0,97",nekandiduje,"0,48","0,97","0,00","5,82",nekandiduje,nekandiduje,nekandiduje,"0,00","0,48","35,43","0,00","0,00","0,00","1,94","0,48","0,00","0,00","22,33","0,00",nekandiduje
552313,Domašov u Šternberka,258,139,139,"15,10","0,00","0,00","5,75",nekandiduje,"0,00","1,43","8,63","0,00","0,00",nekandiduje,"0,00","0,00","0,00","8,63",nekandiduje,nekandiduje,nekandiduje,"0,00","4,31","38,84","0,00","0,00","0,00","5,75","0,00","0,00","0,00","11,51","0,00",nekandiduje
501751,Drahanovice,1 403,838,832,"4,68","0,12","0,12","7,45",nekandiduje,"0,36","5,64","10,21","1,08","0,48",nekandiduje,"1,32","0,24","0,24","7,21",nekandiduje,nekandiduje,nekandiduje,"0,00","2,28","30,76","0,00","0,00","0,00","8,77","0,48","0,48","0,12","17,30","0,60",nekandiduje
501794,Dub nad Moravou,1 277,779,774,"4,78","0,51","0,00","9,17",nekandiduje,"0,12","3,48","7,88","0,77","0,51",nekandiduje,"1,67","0,12","0,25","11,49",nekandiduje,nekandiduje,nekandiduje,"0,25","1,80","31,26","0,00","0,00","0,12","12,27","0,51","0,00","0,51","12,01","0,38",nekandiduje
552071,Dubèany,189,108,108,"2,77","0,00","0,00","14,81",nekandiduje,"0,00","9,25","8,33","0,00","0,92",nekandiduje,"0,00","0,00","0,00","5,55",nekandiduje,nekandiduje,nekandiduje,"0,00","0,92","19,44","0,00","0,00","0,00","30,55","0,92","0,00","0,00","6,48","0,00",nekandiduje
501841,Grygov,1 181,790,788,"8,24","0,00","0,00","8,62",nekandiduje,"0,50","3,80","9,39","1,90","0,50",nekandiduje,"3,17","0,38","0,38","9,64",nekandiduje,nekandiduje,nekandiduje,"0,00","1,52","31,72","0,00","0,00","0,25","6,09","1,01","0,76","0,25","11,29","0,50",nekandiduje
552178,Haòovice,377,262,261,"7,27","0,00","0,76","9,96",nekandiduje,"0,00","0,76","7,27","0,00","0,00",nekandiduje,"1,53","0,00","0,00","4,21",nekandiduje,nekandiduje,nekandiduje,"0,00","2,68","28,73","0,00","0,00","1,14","17,24","1,14","0,38","0,38","16,09","0,38",nekandiduje
