KÓD,MÌSTO,VOLIÈI V SEZNAMU,VYDANÉ OBALKY,PLATNÉ HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,Èeská strana národnì sociální v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
541648,Branky,771,455,453,"5,51","0,00","0,00","3,97",nekandiduje,"0,00","3,09","9,27","1,32","0,88",nekandiduje,"0,88","0,00","0,00","11,25",nekandiduje,nekandiduje,nekandiduje,"0,00","4,63","34,43","0,00","0,22","8,16",nekandiduje,"0,22","1,10","0,00","14,79","0,22",nekandiduje
541711,Bystøièka,814,549,543,"13,99","0,36","0,00","6,44",nekandiduje,"0,18","4,78","3,68","1,84","0,92",nekandiduje,"1,10","0,00","0,18","10,49",nekandiduje,nekandiduje,nekandiduje,"0,18","3,86","33,33","0,00","0,18","5,89",nekandiduje,"0,18","0,55","0,18","11,23","0,36",nekandiduje
541800,Dolní Beèva,1 551,945,942,"9,34","0,00","0,00","7,96",nekandiduje,"0,00","3,92","5,73","0,74","0,74",nekandiduje,"1,06","0,00","0,21","8,38",nekandiduje,nekandiduje,nekandiduje,"0,00","3,07","27,28","0,10","0,10","18,15",nekandiduje,"0,63","0,10","0,21","11,99","0,21",nekandiduje
542644,Francova Lhota,1 305,761,757,"8,85","0,00","0,00","5,54",nekandiduje,"0,00","5,68","5,15","1,32","1,32",nekandiduje,"2,77","0,13","0,26","8,85",nekandiduje,nekandiduje,nekandiduje,"0,00","2,37","22,98","0,13","0,13","19,94",nekandiduje,"0,26","0,13","0,26","12,94","0,92",nekandiduje
542679,Halenkov,1 909,1 046,1 041,"9,41","0,09","0,00","11,91",nekandiduje,"0,00","2,49","6,91","1,05","0,76",nekandiduje,"1,05","0,09","0,28","6,34",nekandiduje,nekandiduje,nekandiduje,"0,00","3,17","24,97","0,00","0,09","17,57",nekandiduje,"0,48","0,09","0,57","12,39","0,19",nekandiduje
542687,Horní Beèva,2 119,1 277,1 271,"9,67","0,00","0,00","7,39",nekandiduje,"0,00","5,19","6,05","1,10","1,10",nekandiduje,"2,51","0,23","0,15","8,41",nekandiduje,nekandiduje,nekandiduje,"0,07","1,96","27,61","0,23","0,07","9,59",nekandiduje,"1,02","0,23","0,00","17,07","0,23",nekandiduje
542725,Horní Lideè,1 099,725,717,"5,85","0,13","0,00","5,29",nekandiduje,"0,00","3,48","4,18","1,81","0,13",nekandiduje,"1,25","0,00","0,00","8,22",nekandiduje,nekandiduje,nekandiduje,"0,00","2,09","24,40","0,00","0,27","29,70",nekandiduje,"0,27","0,27","0,13","11,57","0,83",nekandiduje
542750,Hošálková,1 766,1 046,1 041,"10,18","0,00","0,00","5,18",nekandiduje,"0,00","6,14","5,37","0,86","0,57",nekandiduje,"1,34","0,38","0,19","7,20",nekandiduje,nekandiduje,nekandiduje,"0,00","1,63","27,66","0,09","0,09","10,95",nekandiduje,"0,38","0,38","0,09","20,84","0,38",nekandiduje
542768,Hovìzí,1 927,1 196,1 187,"8,17","0,00","0,16","6,14",nekandiduje,"0,08","11,03","6,23","0,84","1,43",nekandiduje,"0,84","0,00","0,16","6,23",nekandiduje,nekandiduje,nekandiduje,"0,00","0,92","27,37","0,00","0,08","17,43",nekandiduje,"0,16","0,16","0,25","12,13","0,08",nekandiduje
542784,Huslenky,1 816,1 013,1 008,"7,83","0,09","0,09","9,52",nekandiduje,"0,29","5,75","5,55","0,69","0,99",nekandiduje,"1,38","0,09","0,29","8,73",nekandiduje,nekandiduje,nekandiduje,"0,00","2,57","24,30","0,09","0,19","15,27",nekandiduje,"0,29","0,09","0,19","15,37","0,19",nekandiduje
542814,Hutisko-Solanec,1 607,1 006,991,"9,88","0,20","0,00","6,45",nekandiduje,"0,00","4,74","8,27","1,31","0,50",nekandiduje,"1,10","0,00","0,20","6,76",nekandiduje,nekandiduje,nekandiduje,"0,00","1,81","29,76","0,10","0,10","14,93",nekandiduje,"1,00","1,00","0,10","11,30","0,40",nekandiduje
542831,Chorynì,599,359,357,"8,12","0,28","0,28","7,00",nekandiduje,"0,00","3,08","7,56","0,84","0,56",nekandiduje,"1,68","0,28","0,28","8,96",nekandiduje,nekandiduje,nekandiduje,"0,28","1,96","33,33","0,00","0,00","11,48",nekandiduje,"0,84","0,00","0,28","12,32","0,56",nekandiduje
542865,Jablùnka,1 647,1 004,998,"11,32","0,00","0,10","6,61",nekandiduje,"0,00","5,41","5,81","1,40","0,50",nekandiduje,"1,80","0,30","0,30","11,12",nekandiduje,nekandiduje,nekandiduje,"0,00","1,80","27,95","0,00","0,40","7,91",nekandiduje,"1,30","0,40","0,20","14,82","0,50",nekandiduje
570346,Janová,609,375,374,"15,50","0,80","0,00","5,61",nekandiduje,"0,00","7,75","6,41","0,80","0,53",nekandiduje,"2,67","0,53","0,26","8,82",nekandiduje,nekandiduje,nekandiduje,"0,00","1,33","26,20","0,00","0,53","7,21",nekandiduje,"1,06","0,26","0,26","12,56","0,80",nekandiduje
542903,Jarcová,675,405,402,"9,20","0,00","0,00","9,95",nekandiduje,"0,24","5,22","3,98","1,24","1,24",nekandiduje,"0,74","0,00","0,00","12,18",nekandiduje,nekandiduje,nekandiduje,"0,00","2,23","33,83","0,24","0,00","7,21",nekandiduje,"0,24","0,00","0,00","11,94","0,24",nekandiduje
542911,Karolinka,2 161,1 179,1 172,"8,70","0,08","0,25","10,83",nekandiduje,"0,08","3,32","9,21","1,19","0,76",nekandiduje,"1,70","0,00","0,08","6,14",nekandiduje,nekandiduje,nekandiduje,"0,08","1,53","28,15","0,00","0,17","10,15",nekandiduje,"0,17","0,17","0,08","16,72","0,34",nekandiduje
542946,Kateøinice,834,487,483,"9,10","0,00","0,00","5,59",nekandiduje,"0,00","9,31","7,03","1,44","1,24",nekandiduje,"2,07","0,41","0,00","6,62",nekandiduje,nekandiduje,nekandiduje,"0,00","2,27","26,29","0,00","0,00","8,28",nekandiduje,"0,00","0,82","0,00","19,04","0,41",nekandiduje
542989,Kelè,2 091,1 386,1 380,"5,28","0,14","0,07","4,71",nekandiduje,"0,21","4,85","6,37","0,43","0,43",nekandiduje,"0,94","0,14","0,00","6,30",nekandiduje,nekandiduje,nekandiduje,"0,00","1,95","34,92","0,00","0,07","20,65",nekandiduje,"0,28","0,07","0,14","11,73","0,21",nekandiduje
542997,Kladeruby,354,208,208,"8,17","0,00","0,00","6,25",nekandiduje,"0,48","3,36","7,69","0,96","1,92",nekandiduje,"0,48","0,00","0,00","6,25",nekandiduje,nekandiduje,nekandiduje,"0,00","1,92","39,90","0,00","0,96","13,94",nekandiduje,"0,96","0,00","0,00","6,73","0,00",nekandiduje
500062,Krhová,1 616,1 034,1 031,"10,76","0,19","0,09","4,46",nekandiduje,"0,19","2,61","4,65","0,48","1,55",nekandiduje,"3,00","0,09","0,19","8,34",nekandiduje,nekandiduje,nekandiduje,"0,09","1,93","37,92","0,09","0,00","10,18",nekandiduje,"0,67","0,00","0,29","12,02","0,09",nekandiduje
543021,Kunovice,498,357,355,"3,94","0,00","0,00","4,78",nekandiduje,"0,28","4,22","10,14","0,28","0,00",nekandiduje,"1,12","0,00","0,00","12,95",nekandiduje,nekandiduje,nekandiduje,"0,00","1,40","35,21","0,00","0,00","12,11",nekandiduje,"0,56","0,28","0,28","12,11","0,28",nekandiduje
543098,Laènov,679,430,422,"4,26","0,23","0,00","7,10",nekandiduje,"0,00","4,50","4,97","0,47","1,18",nekandiduje,"1,89","0,23","0,00","6,39",nekandiduje,nekandiduje,nekandiduje,"0,23","2,84","21,80","0,23","0,47","33,88",nekandiduje,"0,23","0,23","0,00","8,53","0,23",nekandiduje
