KÓD,MÌSTO,VOLIÈI V SEZNAMU,VYDANÉ OBALKY,PLATNÉ HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,Èeská strana národnì sociální v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
588300,Baøice-Velké Tìšany,374,269,268,"5,59","0,00","0,37","7,46",nekandiduje,"0,00","7,46","11,19","0,37","0,37",nekandiduje,"1,11","0,00","0,00","6,34",nekandiduje,nekandiduje,nekandiduje,"0,00","3,35","26,49","0,00","0,37","11,19",nekandiduje,"0,74","0,00","0,00","17,16","0,37",nekandiduje
588326,Bezmìrov,426,270,264,"7,57","0,00","0,00","7,95",nekandiduje,"0,00","0,37","7,95","0,00","1,51",nekandiduje,"0,75","0,00","0,00","8,33",nekandiduje,nekandiduje,nekandiduje,"0,00","2,27","32,57","0,37","0,37","9,46",nekandiduje,"1,13","0,37","0,00","17,80","1,13",nekandiduje
542318,Blazice,172,120,120,"8,33","0,00","0,00","5,83",nekandiduje,"0,83","7,50","9,16","0,83","0,00",nekandiduje,"0,00","0,83","0,00","5,00",nekandiduje,nekandiduje,nekandiduje,"0,00","1,66","21,66","0,00","2,50","13,33",nekandiduje,"0,00","0,00","0,83","21,66","0,00",nekandiduje
549690,Boøenovice,149,100,99,"5,05","0,00","0,00","8,08",nekandiduje,"0,00","1,01","11,11","3,03","0,00",nekandiduje,"5,05","0,00","0,00","5,05",nekandiduje,nekandiduje,nekandiduje,"0,00","1,01","31,31","0,00","0,00","14,14",nekandiduje,"1,01","0,00","0,00","14,14","0,00",nekandiduje
588377,Brusné,301,197,196,"2,04","0,00","0,00","4,59",nekandiduje,"1,02","2,55","19,38","0,00","0,51",nekandiduje,"2,55","0,51","0,00","12,75",nekandiduje,nekandiduje,nekandiduje,"0,00","1,02","24,48","0,00","0,00","8,67",nekandiduje,"0,00","1,53","0,00","18,36","0,00",nekandiduje
588385,Bøest,756,500,491,"12,01","0,20","0,00","5,29",nekandiduje,"0,00","2,24","6,51","1,01","1,01",nekandiduje,"1,62","0,00","0,20","5,29",nekandiduje,nekandiduje,nekandiduje,"0,00","2,64","31,56","0,00","0,00","17,31",nekandiduje,"0,61","0,20","0,00","12,21","0,00",nekandiduje
588393,Bystøice pod Hostınem,6 871,4 177,4 150,"9,37","0,19","0,04","6,40",nekandiduje,"0,09","3,95","7,59","1,18","0,38",nekandiduje,"0,79","0,26","0,09","6,81",nekandiduje,nekandiduje,nekandiduje,"0,12","2,60","30,07","0,16","0,12","8,02",nekandiduje,"0,36","0,04","0,04","20,81","0,40",nekandiduje
588407,Cetechovice,157,79,79,"6,32","0,00","1,26","2,53",nekandiduje,"0,00","7,59","11,39","0,00","3,79",nekandiduje,"0,00","0,00","0,00","5,06",nekandiduje,nekandiduje,nekandiduje,"0,00","0,00","34,17","0,00","1,26","15,18",nekandiduje,"0,00","0,00","3,79","7,59","0,00",nekandiduje
588431,Døínov,357,217,216,"3,24","0,00","0,00","10,18",nekandiduje,"0,00","4,62","21,29","0,92","0,92",nekandiduje,"0,46","0,00","0,00","3,24",nekandiduje,nekandiduje,nekandiduje,"0,00","0,46","31,94","0,00","0,00","7,40",nekandiduje,"0,00","0,00","0,92","14,35","0,00",nekandiduje
588458,Holešov,9 540,5 763,5 697,"8,07","0,38","0,03","9,93",nekandiduje,"0,10","4,21","9,72","0,94","0,45",nekandiduje,"1,42","0,08","0,10","7,96",nekandiduje,nekandiduje,nekandiduje,"0,17","3,15","28,71","0,05","0,12","8,81",nekandiduje,"0,52","0,17","0,14","14,32","0,33",nekandiduje
